"date","uid","Confirmed","Recovered","Deaths","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","location"
2020-01-23,4,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Afghanistan"
2020-01-23,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albania"
2020-01-23,12,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Algeria"
2020-01-23,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andorra"
2020-01-23,24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angola"
2020-01-23,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antigua and Barbuda"
2020-01-23,31,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Azerbaijan"
2020-01-23,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argentina"
2020-01-23,36,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Australia"
2020-01-23,40,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Austria"
2020-01-23,44,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bahamas"
2020-01-23,48,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",8.33,"Bahrain"
2020-01-23,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bangladesh"
2020-01-23,51,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",NA,"Armenia"
2020-01-23,52,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barbados"
2020-01-23,56,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Belgium"
2020-01-23,60,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bermuda, United Kingdom"
2020-01-23,64,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bhutan"
2020-01-23,68,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bolivia"
2020-01-23,70,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina"
2020-01-23,72,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Botswana"
2020-01-23,76,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Brazil"
2020-01-23,84,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belize"
2020-01-23,92,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"British Virgin Islands, United Kingdom"
2020-01-23,96,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brunei"
2020-01-23,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bulgaria"
2020-01-23,104,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burma"
2020-01-23,108,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burundi"
2020-01-23,112,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"",0,"Belarus"
